stall-link,map-image,stall-image1,stall-image2,stall-image3,stall-image4,stall-image5,stall-image6,stall-name,stall-organization,stall-location,tab1,tab2,tab3,time,attention,stall-comment
exhibition-individual.html#0,./assets/img/map/mystery.png,./assets/img/exhibition/I2.png,null,null,null,null,null,謎解きすごろく,電子情報工学科2学年,,2,2,1,両日,展示品や装飾の中には壊れやすいものも含まれています。許可がないものにはお手を触れないようお願いいたします。また、ルールに関しましては展示前に掲示いたしますので当日その場でご確認下さい。何かご質問等ございましたらその場にいる学生にお声かけ下さい。,私達電子情報工学科2年生は個性あふれる人が多くいる賑やかなクラスです。この展示では頭を少し使うような問題を出しています。専門的な内容も少し含んでいるので、より多くの人が楽しめるようになっています。ぜひ遊びに来てください！
exhibition-individual.html#1,./assets/img/map/.png,./assets/img/exhibition/S2.jpeg,null,null,null,null,null,クイズ！あなたは私たちより賢いの？～Can you solve ??～,商船学科2学年,,2,2,1,両日,展示品や装飾の中には壊れやすいものも含まれています。許可がないものにはお手を触れないようお願いいたします。また、ルールに関しましては展示前に掲示いたしますので当日その場でご確認下さい。何かご質問等ございましたらその場にいる学生にお声かけ下さい。,私達商船学科2年生はとても活気あふれる楽しいクラスです。そんな私達のクラスでは他の2学年のクラスと合同でクイズやゲームなどを用意しています。商船学科という特色を生かしたみんなに楽しんでもらえるような内容になっておりますので是非来て下さい！！
exhibition-individual.html#2,./assets/img/map/.png,./assets/img/exhibition/K2.jpeg,null,null,null,null,null,クイズ！あなたは私たちより賢いの？～Can you solve ??～,国際ビジネス学科2学年,,2,2,1,両日,展示品や装飾の中には壊れやすいものも含まれています。許可がないものにはお手を触れないようお願いいたします。また、ルールに関しましては展示前に掲示いたしますので当日その場でご確認下さい。何かご質問等ございましたらその場にいる学生にお声かけ下さい。,私たち国際ビジネス学科2年生は笑顔いっぱい元気いっぱい個性いっぱいな明るいクラスです。私たちのクラスは2学年合同でクイズやゲームなどを用意しています。国際ビジネス学科を活かし、中国、ロシア、韓国、情報の4つの分野のクイズになってます！自信があるみなさん！ぜひ遊びに来てください！
exhibition-individual.html#3,./assets/img/map/mechatech.png,./assets/img/exhibition/mechatech.jpeg,null,null,null,null,null,メカテックのロボット展示,メカテック部(メカトロ部と合同),,3,1,2,両日,,去年の高専ロボコン全国大会に出場したロボットや、部で製作したものを展示します！部員達が力を合わせて作った、創造力溢れるユニークなロボットを是非見にきてください！
exhibition-individual.html#4,./assets/img/map/S3.png,./assets/img/exhibition/S3.png,null,null,null,null,null,船慄迷宮,商船学科3学年,,2,2,1,両日,暗い場所が苦手な方はご注意をください。,航海をしていたは突然霧に覆われ、怪しい海域に迷いこんでしまった。暗闇に包まれる中、突然大きな音とともに船体がバキバキになってしまった。しかし、大きな波のせいで救命艇を出せそうにない！そんな時、前方から怪しい光とともに大きな船が・・・
exhibition-individual.html#5,./assets/img/map/sinbun.png,./assets/img/exhibition/sinbun.jpg,null,null,null,null,null,新聞の展示・配布,新聞部,,3,2,2,両日,展示してある新聞は破れやすいので丁重に扱ってください。,我々新聞部は、181号もの新聞を発刊している伝統ある部活です。私達は、文化部のインターハイと呼ばれる「全国高等学校総合文化祭」に出場します。昨年は鹿児島県を訪れました。今年は、らいちょうの取材として岐阜の総文祭に参加します。毎週火・金曜日に主に新聞の制作や校正を行っています。活動日以外も部室を開け、雑談やカードゲームなどをして和気あいあいと活動しています。北斗祭ではShosen Walker、うみ、波の花の3つの新聞を展示しています。また、毎日北斗祭の様子を取り上げた速報を出すので、ぜひ見に来てください。
exhibition-individual.html#6,./assets/img/map/ziorama.png,./assets/img/exhibition/ziorama.png,null,null,null,null,null,鉄道模型のジオラマ展示,鉄道部,,3,1,2,両日,,普段は本郷キャンパスで活動している鉄道部です。そんな鉄道部では普段製作しているジオラマを展示しています。中には皆さんも見たことがある景色を再現したジオラマがあるかも！？ぜひお越し下さい！
exhibition-individual.html#7,./assets/img/map/shodo.png,./assets/img/exhibition/shodo.jpg,null,null,null,null,null,書道作品,書道同好会,,3,2,2,両日,作品にはお手を触れないようにお願いします。,書道部には、5年生から3年生の計7名が所属しています。書道部は、堅苦しいイメージがあるかもしれませんが決してそのようなことはありません。活動日の好きな時間に好きなお題に取り組むことができるとても自由な部活です。今年の書道作品の展示は『 私の好きなもの』というテーマで各々作品づくりに取り組みました。今後は書道パフォーマンスへの挑戦を考えているので更に書道の腕を上げていくために日々練習を頑張っていきます。
exhibition-individual.html#8,./assets/img/map/deziken.png,./assets/img/exhibition/deziken.png,null,null,null,null,null,"printf(""Hello Digiken!"");",デジタルメディア創作部,,3,1,1,両日,,私たちデジタルメディア創作部は、普段の活動で学んできた知識を活用して様々な作品を展示しました。映像作品やゲーム、デジタルイラストなどの作品に加え、VRホラーゲームも展示しています。どうぞ楽しんでいってください。
exhibition-individual.html#9,./assets/img/map/ryu-re-.png,./assets/img/exhibition/ryu-re-.jpeg,null,null,null,null,null,リューレイ(留学生と幽霊),留学生,,4,3,2,両日,幽霊について詳しく知りたい場合は、QR コードをスキャンすることができる。また、自分でその情報を読みたくない場合は、それぞれの幽霊を紹介する動画もあるので、それしか見なくても幽霊の情報がわかる。,留学生はタイの幽霊とインドネシアの幽霊を展示する。さらに、それぞれの幽霊の歴史をもとに、住んでいる環境に似せて、幽霊の情報をその幽霊のいる場所に貼り付ける。内蔵と頭だけ残って、空を飛ぶ女の人、肌が緑でお金泥棒の赤ちゃん、東南アジアの人たちは、どんなものが怖いと思っているだろうか？幽霊の話の背景、時々教訓もあるよ！おばけのストーリーでタイ、インドネシアの人々の民話を冒険しよう！
exhibition-individual.html#10,./assets/img/map/I3.png,./assets/img/exhibition/I3.jpeg,null,null,null,null,null,ゲームセンター,電子情報工学科3学年,,2,2,1,両日,,我々電子情報工学科3年生はゲームセンターを作成、展示します。私たちが所属する電子情報工学科では、授業内でコンピュータに関する様々な専門的な知識を学んできました。北斗祭で、その知識をフルに活用してゲームを制作します。
exhibition-individual.html#11,./assets/img/map/K3.png,./assets/img/exhibition/K3.jpeg,null,null,null,null,null,高専生と秘密の部屋,国際ビジネス学科3学年,,2,2,1,両日,展示物の破壊禁止、シャッターでの撮影禁止、人を押さない,ようこそ、魔法学校へ！今日は皆さんを特別にご招待。仲間と共に呪文の謎を解き、脱出を果たそう。協力し、知恵を絞り、勇気を示せば、魔法の力で未知の世界へと踏み出せる。仲間との絆を強め、不可能を可能に。あなたもマグルを卒業しよう。
exhibition-individual.html#12,./assets/img/map/pictures.png,./assets/img/exhibition/pictures.png,null,null,null,null,null,写真展示,写真同好会,,3,1,2,両日,,わたしたちは写真同好会です。活動は不定期ですが、メンバーがそれぞれ撮った写真を集めて展示しました。ちょっとこころを休ませたいなー、写真鑑賞してみたいなーという方！少しでも興味のある方はぜひ立ち寄ってみてください！
exhibition-individual.html#13,./assets/img/map/reading-space.png,./assets/img/exhibition/reading-space.png,null,null,null,null,null,おすすめの本紹介,文芸同好会,,3,1,2,両日,,文芸同好会のメンバーがおすすめしたい本の紹介を展示しています！ポップとともに実物をてんじしているものもあるので、ぜひ気になる本を見つけてみてください。また、文芸同好会のメンバーが書いた部誌も頒布しています。そちらも興味のある方はお手に取ってみてください。
exhibition-individual.html#14,./assets/img/map/robot-arm.png,./assets/img/exhibition/robot-arm.png,null,null,null,null,null,AI×ロボットアーム体験,機械システム工学科,,1,1,1,両日,,　ティーチング機能を持った卓上ロボットアームを操作して、人間の動きをロボットが覚え、ロボットが知能を持って動くことを体感できる企画です。
exhibition-individual.html#15,./assets/img/map/department-i.png,./assets/img/exhibition/department-i.png,null,null,null,null,null,電子情報工学科展示,電子情報工学科,,1,2,2,両日,,電子情報工学科の学生が制作した作品を展示して、実験や卒業研究の内容を紹介します。学生作品のデモンストレーション、プログラミング体験、レゴブロック作成体験などの体験型の展示を用意しています。
exhibition-individual.html#16,./assets/img/map/.png,./assets/img/exhibition/kikan.png,null,null,null,null,null,機関実習室ツアー：見慣れない機器の展示,商船学科 機関コース,,1,1,2,両日,,大型船はたくさんの重量物を運んでいることから、人々の生活そのものを運んでいると言っても過言ではありません。大きなエンジンやボイラー、冷凍機などを扱う実習設備を、ぜひ、この機会にご覧ください。
exhibition-individual.html#17,./assets/img/map/koukai.png,./assets/img/exhibition/koukai.jpeg,./assets/img/exhibition/ship2.png,./assets/img/exhibition/ship3.png,./assets/img/exhibition/ship4.png,./assets/img/exhibition/ship5.png,null,大型練習船での実習風景動画、航法機器の展示,商船学科 航海コース,,1,4,2,両日,,大型練習船での実習風景動画　商船学科の実習内容を、映像で見てみましょう。航法機器の展示　大航海時代の計器からGPSまで、実物を展示します。
exhibition-individual.html#18,./assets/img/map/kosen.png,./assets/img/exhibition/kosen.png,null,null,null,null,null,入試広報センター,入試広報センター,,4,3,2,両日,,主に中学生や保護者の方を対象に富山高専の学科の特徴、授業の内容、クラブ活動や学生生活などご紹介致します。学科教員による進学相談コーナーもあります。また、地域の皆様方にも本校の特徴を紹介させていただきます。ぜひお気軽にお立ち寄りください。
exhibition-individual.html#19,./assets/img/map/ti-team.png,./assets/img/exhibition/ti-team.png,null,null,null,null,null,Ti-TEAMの成果発表,2年生,,4,1,2,両日,,1年生のときに，両キャンパスの学生が入り交じってチームを組み，各チームで企業研究を行いました。そのときにまとめたものを展示します。
exhibition-individual.html#20,./assets/img/map/denkiseigyo.png,./assets/img/exhibition/denkiseigyo.png,null,null,null,null,null,電気制御システム工学科　実験実習展示,電気制御システム工学科,,1,1,2,両日,,(1) 物をつかんだり，吸い上げたりする基本的なロボットアームの動きを制御するプログラミング体験ができます．(2) 幻想的な色の光が揺らぐ水晶体，球体がふわりと浮き上がって静止する浮上装置などを展示します．(3) 電線がなくても電気を送ることができる無線電力伝送装置を展示します．
exhibition-individual.html#21,./assets/img/map/department-k.png,./assets/img/exhibition/department-k.png,null,null,null,null,null,国際ビジネス学科学科展示,国際ビジネス学科,,1,3,2,両日,,　国際ビジネス学科より、日頃教育活動を知って頂く一環として展示を行います。展示は、卒業研究の内容、長期留学の様子、異文化体験実習の様子などを学生が作成したポスターなどによって行います。是非ご覧下さい。
exhibition-individual.html#22,./assets/img/map/.png,./assets/img/exhibition/first.png,null,null,null,null,null,フォトスポット,1学年,,2,2,1,両日,1. 指示に従い、安全に注意して行動しましょう。 2. 周囲に配慮し、他の人の写真撮影を妨げないようにしましょう。 3.フォトスポット内の施設や設備を破壊したり汚したりしないように気を付けましょう。,"こんにちは！
私達、電子情報工学科、商船学科、国際ビジネス学科の1年生です。
4月に入学したばかりの私達ですが、協力して制作しました。
年齢、性別関係なく楽しめるようなフォトスポットを制作したので沢山写真を撮ってぜひ楽しんでください。"
exhibition-individual.html#23,./assets/img/map/ship.png,./assets/img/exhibition/ship.png,null,null,null,null,null,船の写真展示,富山商船OB会,,4,3,2,両日,,外国船や日本船の写真を展示しますので、ぜひお立ち寄りください。
